pl_name,hostname,pl_rade,pl_orbper,pl_orbsmax,st_teff,st_rad,discoverymethod,disc_year,ra,dec,sy_dist
"Kepler-744 b","Kepler-744",1.62000000,12.06222443000,0.0973500000,5594.00,0.930000,"Transit",2016,296.4960493,47.1827848,449.96400000
"Kepler-765 b","Kepler-765",2.43000000,27.66552260000,0.1754000000,5901.00,1.060000,"Transit",2016,283.1846044,47.1557114,1076.28000000
"Kepler-834 b","Kepler-834",2.02000000,13.32388301000,0.0862000000,4554.00,0.660000,"Transit",2016,287.0544674,45.1803351,633.93700000
"Kepler-832 b","Kepler-832",2.06000000,7.13969410000,0.0750000000,5596.00,0.900000,"Transit",2016,295.9261101,45.3838690,1688.12000000
"Kepler-912 b","Kepler-912",2.80000000,2.53475627300,0.0339000000,5998.00,1.110000,"Transit",2016,298.1111779,41.7583240,2004.72000000
"Kepler-1017 b","Kepler-1017",1.99000000,7.23400469000,0.0719600000,5473.00,0.870000,"Transit",2016,283.4692990,40.1325185,552.05800000
"Kepler-980 b","Kepler-980",2.67000000,11.55102504000,0.0999300000,5935.00,1.060000,"Transit",2016,294.6129869,45.0601740,961.46800000
"Kepler-983 b","Kepler-983",2.36000000,60.08550820000,0.3148000000,6052.00,1.080000,"Transit",2016,285.1042243,45.0080745,714.43700000
"Kepler-870 b","Kepler-870",2.78000000,21.35876210000,0.1539000000,5857.00,1.020000,"Transit",2016,295.4025625,50.4785992,1259.46000000
"Kepler-869 b","Kepler-869",3.61000000,40.42877550000,0.2244000000,5664.00,0.950000,"Transit",2016,289.4245955,50.9941198,939.45500000
"Kepler-913 b","Kepler-913",2.06000000,10.29672521000,0.1009000000,4687.00,0.610000,"Transit",2016,297.5830564,41.9523531,991.61800000
"Kepler-910 b","Kepler-910",0.82000000,2.36436901500,0.0375200000,6230.00,1.500000,"Transit",2016,296.0472937,42.7429414,400.28900000
"Kepler-964 b","Kepler-964",2.12000000,13.52251060000,0.1073000000,5427.00,0.840000,"Transit",2016,295.3000650,40.5565792,454.62600000
"Kepler-963 b","Kepler-963",2.66000000,9.97683705000,0.0849000000,5461.00,0.870000,"Transit",2016,296.7529742,45.0411049,771.49400000
"Kepler-866 b","Kepler-866",1.63000000,2.61703253600,0.0331000000,4751.00,0.710000,"Transit",2016,290.1222112,43.0854070,646.66700000
"Kepler-865 b","Kepler-865",2.49000000,14.16399294000,0.1057000000,5570.00,0.920000,"Transit",2016,297.7242257,43.5272796,586.13700000
"Kepler-915 b","Kepler-915",1.50000000,4.59489604000,0.0565500000,6173.00,1.380000,"Transit",2016,290.5921293,45.7372184,849.03600000
"Kepler-914 b","Kepler-914",1.38000000,4.40966548000,0.0545400000,5877.00,1.150000,"Transit",2016,290.4120774,44.8993227,753.72300000
"Kepler-1051 b","Kepler-1051",3.40000000,25.96200249000,0.1839500000,6675.00,1.730000,"Transit",2016,295.1581062,40.8988186,829.34300000
"Kepler-1058 b","Kepler-1058",2.72000000,110.96546000000,0.3679000000,4644.00,0.690000,"Transit",2016,294.5956256,45.8750556,491.99700000
"Kepler-864 b","Kepler-864",2.40000000,5.83376092000,0.0687000000,5754.00,1.000000,"Transit",2016,285.0570943,46.3206074,2022.90000000
"Kepler-863 b","Kepler-863",2.90000000,15.59461874000,0.1220000000,5678.00,0.950000,"Transit",2016,297.6644677,43.2489903,1499.66000000
"Kepler-923 b","Kepler-923",1.38000000,6.93366476000,0.0759200000,5988.00,1.260000,"Transit",2016,294.1710831,40.0551372,1000.28000000
"Kepler-916 b","Kepler-916",1.76000000,32.29687980000,0.1885000000,5248.00,0.810000,"Transit",2016,290.9833818,45.9733334,830.71200000
"Kepler-950 b","Kepler-950",8.98000000,98.71804060000,0.3982000000,5857.00,1.020000,"Transit",2016,287.9565768,41.1302834,2161.60000000
"Kepler-1029 b","Kepler-1029",1.26000000,4.41769647900,0.0470000000,5030.00,0.770000,"Transit",2016,292.1328738,41.5474786,366.65600000
"Kepler-958 b","Kepler-958",2.06000000,9.76788050000,0.0863100000,5421.00,0.860000,"Transit",2016,287.2566578,46.0667247,449.77300000
"Kepler-861 b","Kepler-861",2.28000000,3.94963137500,0.0463000000,5047.00,0.780000,"Transit",2016,292.3539624,46.2262465,850.32700000
"Kepler-862 b","Kepler-862",2.21000000,3.14866453400,0.0390000000,5333.00,0.840000,"Transit",2016,297.7792466,46.4926688,1039.03000000
"Kepler-927 b","Kepler-927",1.72000000,9.11499030000,0.0866000000,5743.00,0.990000,"Transit",2016,289.3834807,41.3926651,831.68500000
"Kepler-962 b","Kepler-962",1.97000000,12.05707239000,0.0987400000,5478.00,0.860000,"Transit",2016,295.3131906,46.2375024,411.48600000
"Kepler-856 b","Kepler-856",9.30000000,8.02768059500,0.0787000000,5535.00,0.930000,"Transit",2016,289.6038379,46.3149097,1351.17000000
"Kepler-930 b","Kepler-930",2.13000000,71.45177750000,0.3459300000,6335.00,1.400000,"Transit",2016,298.3144494,42.2473698,848.39600000
"Kepler-929 b","Kepler-929",1.11000000,0.92103213500,0.0198200000,5869.00,1.020000,"Transit",2016,298.4811022,41.6152603,1311.23000000
"Kepler-952 b","Kepler-952",7.65000000,130.35469190000,0.5183000000,5730.00,0.990000,"Transit",2016,285.3718781,41.9938697,1304.25000000
"Kepler-965 b","Kepler-965",3.38000000,134.25272980000,0.5099800000,5886.00,1.150000,"Transit",2016,298.5153169,41.8912305,582.82800000
"Kepler-979 b","Kepler-979",2.72000000,8.08801350000,0.0753000000,5310.00,0.830000,"Transit",2016,300.3712023,46.4081872,576.50300000
"Kepler-932 b","Kepler-932",1.37000000,1.92143739600,0.0287600000,5331.00,0.840000,"Transit",2016,296.9520797,43.2720233,465.61200000
"Kepler-931 b","Kepler-931",1.33000000,8.03755877000,0.0719000000,5241.00,0.810000,"Transit",2016,297.1326937,42.7682885,490.00000000
"Kepler-1006 b","Kepler-1006",1.54000000,19.76172042000,0.1464000000,5328.00,0.740000,"Transit",2016,295.7542063,42.5373065,1081.73800000
"Kepler-990 b","Kepler-990",2.60000000,9.91723428000,0.0859500000,5948.00,1.080000,"Transit",2016,297.9381813,46.8813194,802.16300000
"Kepler-892 b","Kepler-892",2.81000000,13.75210720000,0.1015000000,4747.00,0.720000,"Transit",2016,283.1296399,43.8880983,570.72700000
"Kepler-895 b","Kepler-895",1.54000000,2.80624232800,0.0328000000,4315.00,0.610000,"Transit",2016,289.2906978,51.4089936,540.13400000
"Kepler-507 b","Kepler-507",1.30000000,3.56809692600,0.0478100000,6113.00,1.320000,"Transit",2016,297.0188074,50.4090460,391.64400000
"Kepler-1027 b","Kepler-1027",0.89000000,1.90780519900,0.0291100000,5436.00,0.820000,"Transit",2016,287.5711746,42.8138159,405.10400000
"Kepler-982 b","Kepler-982",2.25000000,15.77382210000,0.1277000000,6139.00,1.290000,"Transit",2016,288.4176803,46.5904531,801.47900000
"Kepler-1052 b","Kepler-1052",2.93000000,34.85382760000,0.2098800000,5888.00,1.030000,"Transit",2016,295.3427300,46.6022134,943.44400000
"Kepler-897 b","Kepler-897",2.39000000,8.04726420000,0.0770000000,5839.00,1.040000,"Transit",2016,290.5867992,51.6957731,1519.25000000
"Kepler-898 b","Kepler-898",1.49000000,5.87061910000,0.0545000000,4223.00,0.620000,"Transit",2016,286.5854116,46.8708877,484.89100000
"Kepler-938 b","Kepler-938",2.22000000,52.62984170000,0.2689000000,5533.00,0.890000,"Transit",2016,294.7890593,46.9839352,1182.05000000
"Kepler-986 b","Kepler-986",2.36000000,56.43499380000,0.2913100000,5642.00,0.980000,"Transit",2016,293.0940391,42.8964457,548.36400000
"Kepler-978 b","Kepler-978",2.99000000,49.62215090000,0.2726000000,6002.00,1.090000,"Transit",2016,286.7107166,43.0433585,682.52200000
"Kepler-960 b","Kepler-960",2.29000000,3.12686223000,0.0380700000,4755.00,0.720000,"Transit",2016,281.4572217,46.7465538,284.91600000
"Kepler-976 b","Kepler-976",3.96000000,105.95641480000,0.4217000000,5232.00,0.830000,"Transit",2016,289.8696232,46.7296855,1012.41000000
"Kepler-899 b","Kepler-899",2.68000000,19.17891293000,0.1392000000,5595.00,0.910000,"Transit",2016,297.4825612,40.6807412,1246.43000000
"Kepler-1015 b","Kepler-1015",3.55000000,16.00494214000,0.1345000000,6769.00,1.810000,"Transit",2016,292.7573088,43.4268439,739.35700000
"Kepler-1002 b","Kepler-1002",1.71000000,4.33642933100,0.0564000000,6144.00,1.570000,"Transit",2016,293.0794629,43.0736770,408.30300000
"Kepler-889 b","Kepler-889",1.09000000,3.74443900000,0.0497500000,5961.00,1.250000,"Transit",2016,291.4674540,50.7595597,598.31300000
"Kepler-903 b","Kepler-903",2.01000000,10.35077210000,0.0908100000,5682.00,0.970000,"Transit",2016,288.7710137,40.6641771,1369.24000000
"Kepler-904 b","Kepler-904",1.77000000,3.02166863200,0.0417000000,6160.00,1.250000,"Transit",2016,288.8229001,40.3890100,978.12500000
"Kepler-918 b","Kepler-918",1.74000000,4.85386933000,0.0569000000,6028.00,1.140000,"Transit",2016,298.2007268,48.2677925,1025.03000000
"Kepler-920 b","Kepler-920",2.42000000,6.53192704000,0.0650000000,5403.00,0.850000,"Transit",2016,284.2969363,49.1585983,1001.68000000
"Kepler-961 b","Kepler-961",2.55000000,16.87727414000,0.1258500000,5582.00,0.900000,"Transit",2016,282.0354942,43.6312491,574.31400000
"Kepler-972 b","Kepler-972",4.65000000,7.03932553000,0.0734000000,6146.00,1.220000,"Transit",2016,295.8286790,43.4254371,1198.03000000
"Kepler-886 b","Kepler-886",1.52000000,6.24146367000,0.0642800000,6098.00,1.160000,"Transit",2016,286.2717162,43.5952037,711.29700000
"Kepler-885 b","Kepler-885",2.50000000,18.11472949000,0.1440300000,6187.00,1.350000,"Transit",2016,288.6615682,49.7371538,651.31800000
"Kepler-906 b","Kepler-906",2.11000000,41.69799760000,0.2236300000,6035.00,1.020000,"Transit",2016,291.4055614,40.1254254,757.79100000
"Kepler-466 c","Kepler-466",1.25000000,3.70921384600,0.0465800000,5927.00,1.050000,"Transit",2016,295.6486585,48.4955191,530.12200000
"Kepler-921 b","Kepler-921",2.87000000,51.30063400000,0.2716000000,5663.00,0.910000,"Transit",2016,284.6162253,49.1907438,934.49000000
"Kepler-943 b","Kepler-943",5.93000000,49.77014380000,0.2559000000,5612.00,0.910000,"Transit",2016,284.2739322,41.5349809,2300.53000000
"Kepler-946 b","Kepler-946",1.93000000,11.79162572000,0.1002000000,5665.00,0.930000,"Transit",2016,300.9295551,44.0286710,1137.29000000
"Kepler-1014 b","Kepler-1014",2.39000000,16.57110363000,0.1210000000,5388.00,0.840000,"Transit",2016,285.1219875,44.1105331,624.80000000
"Kepler-852 b","Kepler-852",2.54000000,44.93098040000,0.2796700000,6100.00,1.160000,"Transit",2016,297.3915863,48.5606875,1619.03000000
"Kepler-884 b","Kepler-884",1.23000000,5.69919514000,0.0611600000,5715.00,0.940000,"Transit",2016,292.5844328,49.9232012,476.73300000
"Kepler-529 c","Kepler-529",2.00000000,12.83450220000,0.1075000000,6087.00,1.140000,"Transit",2016,285.8884067,47.8803640,799.00800000
"Kepler-944 b","Kepler-944",2.63000000,43.31677370000,0.2288000000,5409.00,0.830000,"Transit",2016,293.6012911,42.3797910,1349.43000000
"Kepler-942 b","Kepler-942",2.13000000,44.96417488000,0.2273700000,4861.00,0.750000,"Transit",2016,294.9550809,44.1499518,216.35400000
"Kepler-1010 b","Kepler-1010",2.32000000,34.26857050000,0.1930000000,5253.00,0.820000,"Transit",2016,289.1926026,44.1493165,579.27300000
"Kepler-882 b","Kepler-882",1.23000000,3.98953966600,0.0474100000,5476.00,0.870000,"Transit",2016,294.6500256,43.3356106,504.60500000
"Kepler-255 d","Kepler-255",1.32000000,1.04562265800,0.0192000000,5431.00,0.860000,"Transit",2016,296.0642702,45.9767647,1052.53000000
